시도명,폐기물위험수치,폐기물위험지역등급,폐기물위험지역순위
경기도,1.0,bad,1
서울특별시,0.5890552166340594,5,2
경상남도,0.2203377580932425,5,3
경상북도,0.2017722119319591,5,4
부산광역시,0.19575094199003495,4,5
인천광역시,0.1581046798764251,4,6
대구광역시,0.14186762551910237,4,7
전라남도,0.132819393347863,3,8
전라북도,0.12275310178246907,3,9
충청남도,0.11071034359620881,3,10
강원도,0.1063421297425484,2,11
충청북도,0.09985413691032462,2,12
대전광역시,0.08067012274683598,2,13
제주특별자치도,0.07854923771675118,1,14
광주광역시,0.0671322916629355,1,15
울산광역시,0.04757898581371992,1,16
세종특별자치시,0.0,good,17
